starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:46:16 2023	1680239776	4	2320	2324	2320
Fri Mar 31 10:46:16 2023	1680239776	4	2488	2492	2488
Fri Mar 31 10:46:14 2023	1680239774	1	2528	2528	2523
Fri Mar 31 10:46:16 2023	1680239776	4	2892	2896	2892
Fri Mar 31 10:46:16 2023	1680239776	4	3427	3431	3427
Fri Mar 31 10:46:16 2023	1680239776	4	4122	4127	4122
Fri Mar 31 10:46:16 2023	1680239776	4	5562	5565	5562
Fri Mar 31 10:46:16 2023	1680239776	4	6196	6200	6196
Fri Mar 31 10:46:16 2023	1680239776	4	7121	7125	7121
Fri Mar 31 10:46:16 2023	1680239776	4	7576	7579	7576
Fri Mar 31 10:46:16 2023	1680239776	4	8632	8635	8631
Fri Mar 31 10:46:16 2023	1680239776	4	9774	9778	9774
Fri Mar 31 10:46:16 2023	1680239776	4	10913	10917	10913
Fri Mar 31 10:46:16 2023	1680239776	4	11219	11223	11219
Fri Mar 31 10:46:16 2023	1680239776	4	12948	12952	12948
Fri Mar 31 10:46:16 2023	1680239776	4	14014	14018	14014
Fri Mar 31 10:46:16 2023	1680239776	4	14083	14087	14083
Fri Mar 31 10:46:16 2023	1680239776	4	15746	15750	15746
Fri Mar 31 10:46:16 2023	1680239776	4	16963	16967	16963
Fri Mar 31 10:46:16 2023	1680239776	4	18523	18526	18523
Fri Mar 31 10:46:16 2023	1680239776	4	18836	18839	18836
Fri Mar 31 10:46:16 2023	1680239776	4	19055	19059	19055
Fri Mar 31 10:46:16 2023	1680239776	4	19278	19282	19278
Fri Mar 31 10:46:16 2023	1680239776	3	22149	22153	22149
Fri Mar 31 10:46:16 2023	1680239776	4	22165	22169	22165
Fri Mar 31 10:46:16 2023	1680239776	4	22818	22822	22818
Fri Mar 31 10:46:16 2023	1680239776	3	23782	23785	23782
Fri Mar 31 10:46:16 2023	1680239776	3	24946	24949	24945
Fri Mar 31 10:46:16 2023	1680239776	3	25631	25635	25631
Fri Mar 31 10:46:16 2023	1680239776	3	26126	26129	26126
Fri Mar 31 10:46:16 2023	1680239776	3	26761	26765	26761
Fri Mar 31 10:46:16 2023	1680239776	3	27217	27220	27217
Fri Mar 31 10:46:16 2023	1680239776	3	28796	28800	28796
Fri Mar 31 10:46:16 2023	1680239776	3	28830	28834	28830
Fri Mar 31 10:46:16 2023	1680239776	3	30875	30879	30875
Fri Mar 31 10:46:16 2023	1680239776	3	32027	32031	32027
Fri Mar 31 10:46:16 2023	1680239776	3	32097	32100	32097
Fri Mar 31 10:46:16 2023	1680239776	3	32106	32109	32106
Fri Mar 31 10:46:16 2023	1680239776	3	36572	36575	36572
Fri Mar 31 10:46:16 2023	1680239776	3	36586	36590	36586
Fri Mar 31 10:46:16 2023	1680239776	3	38108	38111	38107
Fri Mar 31 10:46:16 2023	1680239776	3	39218	39221	39218
Fri Mar 31 10:46:16 2023	1680239776	3	39302	39306	39302
Fri Mar 31 10:46:16 2023	1680239776	3	39689	39692	39689
Fri Mar 31 10:46:16 2023	1680239776	3	40790	40793	40790
Fri Mar 31 10:46:16 2023	1680239776	3	41914	41917	41914
Fri Mar 31 10:46:16 2023	1680239776	3	42657	42660	42657
Fri Mar 31 10:46:16 2023	1680239776	3	42959	42962	42959
Fri Mar 31 10:46:16 2023	1680239776	3	43702	43705	43702
Fri Mar 31 10:46:16 2023	1680239776	3	43946	43949	43945
Fri Mar 31 10:46:16 2023	1680239776	3	44771	44774	44770
Fri Mar 31 10:46:16 2023	1680239776	3	46565	46568	46565
Fri Mar 31 10:46:16 2023	1680239776	3	46717	46720	46716
Fri Mar 31 10:46:16 2023	1680239776	3	47640	47643	47640
Fri Mar 31 10:46:16 2023	1680239776	3	47808	47811	47808
Fri Mar 31 10:46:16 2023	1680239776	3	48929	48932	48929
Fri Mar 31 10:46:16 2023	1680239776	3	49961	49964	49961
Fri Mar 31 10:46:16 2023	1680239776	3	51396	51399	51396
Fri Mar 31 10:46:16 2023	1680239776	3	52348	52351	52348
Fri Mar 31 10:46:16 2023	1680239776	3	52549	52552	52549
Fri Mar 31 10:46:16 2023	1680239776	3	54609	54612	54609
Fri Mar 31 10:46:16 2023	1680239776	3	54918	54921	54918
Fri Mar 31 10:46:16 2023	1680239776	3	55445	55448	55445
Fri Mar 31 10:46:16 2023	1680239776	3	55574	55577	55574
Fri Mar 31 10:46:16 2023	1680239776	3	55775	55778	55775
Fri Mar 31 10:46:16 2023	1680239776	3	56820	56822	56820
Fri Mar 31 10:46:16 2023	1680239776	3	58210	58213	58210
Fri Mar 31 10:46:16 2023	1680239776	3	58379	58381	58378
Fri Mar 31 10:46:16 2023	1680239776	3	58623	58625	58623
Fri Mar 31 10:46:16 2023	1680239776	3	58939	58942	58939
Fri Mar 31 10:46:16 2023	1680239776	3	59443	59446	59443
Fri Mar 31 10:46:16 2023	1680239776	3	59697	59700	59697
Fri Mar 31 10:46:16 2023	1680239776	3	59973	59975	59973
Fri Mar 31 10:46:16 2023	1680239776	3	60541	60544	60541
Fri Mar 31 10:46:16 2023	1680239776	3	60780	60783	60780
Fri Mar 31 10:46:16 2023	1680239776	3	61651	61654	61651
Fri Mar 31 10:46:16 2023	1680239776	3	63029	63032	63029
Fri Mar 31 10:46:16 2023	1680239776	3	63698	63701	63698
Fri Mar 31 10:46:16 2023	1680239776	3	63963	63966	63963
Fri Mar 31 10:46:16 2023	1680239776	3	64167	64170	64167
Fri Mar 31 10:46:16 2023	1680239776	3	64803	64806	64803
Fri Mar 31 10:46:16 2023	1680239776	2	65086	65089	65086
Fri Mar 31 10:46:16 2023	1680239776	3	66134	66137	66134
Fri Mar 31 10:46:16 2023	1680239776	3	66185	66188	66185
Fri Mar 31 10:46:16 2023	1680239776	2	66561	66564	66561
Fri Mar 31 10:46:16 2023	1680239776	2	67062	67064	67062
Fri Mar 31 10:46:16 2023	1680239776	3	67257	67260	67257
Fri Mar 31 10:46:16 2023	1680239776	3	67724	67727	67724
Fri Mar 31 10:46:16 2023	1680239776	3	68102	68105	68102
Fri Mar 31 10:46:16 2023	1680239776	3	68599	68601	68598
