starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:23:57 2023	1680238437	0	918	918	918
Fri Mar 31 10:23:55 2023	1680238435	0	954	954	953
Fri Mar 31 10:27:16 2023	1680238636	0	958	958	957
Fri Mar 31 10:26:10 2023	1680238570	0	980	980	979
Fri Mar 31 10:25:56 2023	1680238556	0	980	981	980
Fri Mar 31 10:25:54 2023	1680238554	0	981	981	981
Fri Mar 31 10:24:08 2023	1680238448	0	982	982	982
Fri Mar 31 10:26:54 2023	1680238614	0	992	992	992
Fri Mar 31 10:26:09 2023	1680238569	0	993	993	993
Fri Mar 31 10:26:55 2023	1680238615	0	995	995	995
Fri Mar 31 10:26:01 2023	1680238561	0	996	996	996
Fri Mar 31 10:26:24 2023	1680238584	0	1006	1006	1006
Fri Mar 31 10:25:45 2023	1680238545	0	1008	1008	1007
Fri Mar 31 10:25:04 2023	1680238504	0	1021	1021	1021
Fri Mar 31 10:26:02 2023	1680238562	0	1033	1033	1033
Fri Mar 31 10:25:27 2023	1680238527	0	1049	1049	1049
Fri Mar 31 10:25:53 2023	1680238553	0	1050	1050	1050
Fri Mar 31 10:23:56 2023	1680238436	1	1055	1056	1055
Fri Mar 31 10:25:26 2023	1680238526	0	1057	1057	1057
Fri Mar 31 10:25:25 2023	1680238525	0	1061	1062	1061
Fri Mar 31 10:23:56 2023	1680238436	1	1066	1067	1066
Fri Mar 31 10:27:06 2023	1680238626	0	1071	1071	1071
Fri Mar 31 10:26:50 2023	1680238610	0	1083	1083	1083
Fri Mar 31 10:26:20 2023	1680238580	1	1100	1101	1100
Fri Mar 31 10:26:21 2023	1680238581	0	1105	1105	1104
Fri Mar 31 10:26:56 2023	1680238616	0	1114	1115	1114
Fri Mar 31 10:26:03 2023	1680238563	0	1124	1124	1123
Fri Mar 31 10:25:27 2023	1680238527	0	1145	1145	1144
Fri Mar 31 10:26:14 2023	1680238574	0	1189	1189	1189
Fri Mar 31 10:26:55 2023	1680238615	0	1250	1250	1249
Fri Mar 31 10:26:30 2023	1680238590	0	1258	1258	1258
Fri Mar 31 10:27:25 2023	1680238645	0	1356	1356	1356
Fri Mar 31 10:24:09 2023	1680238449	0	1388	1388	1387
Fri Mar 31 10:26:48 2023	1680238608	0	1397	1397	1397
