starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:22:59 2023	1680241979	5	1008	1013	1008
Fri Mar 31 11:22:59 2023	1680241979	4	1009	1013	1009
Fri Mar 31 11:22:57 2023	1680241977	0	1760	1760	1755
Fri Mar 31 11:22:59 2023	1680241979	2	3817	3819	3817
Fri Mar 31 11:22:59 2023	1680241979	5	3815	3821	3815
Fri Mar 31 11:22:59 2023	1680241979	5	3816	3821	3816
Fri Mar 31 11:22:59 2023	1680241979	3	3823	3827	3823
Fri Mar 31 11:22:59 2023	1680241979	4	3825	3829	3825
Fri Mar 31 11:22:59 2023	1680241979	5	3836	3841	3836
Fri Mar 31 11:22:59 2023	1680241979	5	4239	4244	4238
Fri Mar 31 11:22:59 2023	1680241979	5	4732	4737	4732
Fri Mar 31 11:22:59 2023	1680241979	4	4746	4750	4746
Fri Mar 31 11:22:59 2023	1680241979	4	5223	5227	5223
Fri Mar 31 11:22:59 2023	1680241979	5	5412	5417	5412
Fri Mar 31 11:22:59 2023	1680241979	4	12475	12479	12475
Fri Mar 31 11:22:59 2023	1680241979	5	12476	12481	12476
Fri Mar 31 11:22:59 2023	1680241979	4	12479	12483	12479
Fri Mar 31 11:22:59 2023	1680241979	5	12480	12485	12480
Fri Mar 31 11:22:59 2023	1680241979	3	13812	13816	13812
Fri Mar 31 11:22:59 2023	1680241979	3	13820	13823	13819
Fri Mar 31 11:22:59 2023	1680241979	4	14991	14995	14991
Fri Mar 31 11:22:59 2023	1680241979	3	14992	14995	14991
Fri Mar 31 11:22:59 2023	1680241979	4	15627	15632	15624
Fri Mar 31 11:22:59 2023	1680241979	5	15634	15639	15634
Fri Mar 31 11:22:59 2023	1680241979	5	15639	15644	15639
Fri Mar 31 11:22:59 2023	1680241979	5	15640	15645	15640
Fri Mar 31 11:22:59 2023	1680241979	4	15929	15933	15929
Fri Mar 31 11:22:59 2023	1680241979	5	16866	16870	16865
Fri Mar 31 11:22:59 2023	1680241979	3	16868	16871	16868
Fri Mar 31 11:22:59 2023	1680241979	3	17101	17104	17101
Fri Mar 31 11:22:59 2023	1680241979	4	17869	17873	17869
Fri Mar 31 11:22:59 2023	1680241979	4	19066	19070	19066
Fri Mar 31 11:22:59 2023	1680241979	4	19068	19071	19068
Fri Mar 31 11:22:59 2023	1680241979	4	19084	19088	19084
Fri Mar 31 11:22:59 2023	1680241979	3	19088	19091	19088
Fri Mar 31 11:22:59 2023	1680241979	5	19087	19092	19087
Fri Mar 31 11:22:59 2023	1680241979	4	19493	19497	19493
Fri Mar 31 11:22:59 2023	1680241979	3	19833	19836	19833
Fri Mar 31 11:22:59 2023	1680241979	4	20452	20456	20452
Fri Mar 31 11:22:59 2023	1680241979	4	20789	20793	20789
Fri Mar 31 11:22:59 2023	1680241979	3	22217	22220	22216
